Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
WIF1,-2.288115097293941,7.201835821348905,-9.363920544104335,2.711055389472029e-11,5.678576618788112e-7,14.887084214961021
C1QTNF5,1.6380526695362827,7.94835714871177,7.285510478169296,1.1960275749880718e-8,1.2525996792850077e-4,9.50819153630896
OAS2,1.6904361951043394,7.603936957852688,6.864823076259968,4.33115830237231e-8,3.024014726716347e-4,8.349886442792844
LGALS3BP,1.1673552502970312,6.765591508081112,6.735451871913525,6.451024365189568e-8,3.3780789088315173e-4,7.990083375024314
LOC100134134,1.4031802735081722,9.950296073796135,6.498410312024987,1.3422448834718625e-7,5.622932265840326e-4,7.327059413311257
THY1,1.7134145950775634,9.2919567569484,6.354800915823793,2.0952766774671265e-7,7.314610881037738e-4,6.923286914929456
SNHG5,-1.3391056208327559,11.510120096131935,-6.297806221633986,2.5009811896527827e-7,7.483650285495312e-4,6.762660178759171
CCL2,1.493162207889761,8.65414251916863,6.241553120682649,2.978742849874276e-7,7.799093466683322e-4,6.603931074908939
SLC1A3,0.9107538622713331,6.803089407569514,6.140056390642892,4.08448736420245e-7,9.200388022482422e-4,6.317097761653637
ISG15,1.3825834355694826,8.093576666583733,6.116701401335624,4.392431978651018e-7,9.200388022482422e-4,6.251022343035503
VWA1,0.9255730277177752,7.039451075778595,5.935245054351055,7.729478250374804e-7,0.0013996669857435087,5.7368685709272
CYP2S1,0.7697419272359248,5.892141442557845,5.92345609524687,8.018716618410247e-7,0.0013996669857435087,5.703423782641794
LRFN5,-0.9084691784323823,6.044467497829525,-5.841105351061261,1.0365057200082467e-6,0.0016700499085609795,5.46969001819757
LOC100129681,0.9140770000803978,7.322115949928746,5.79680205064946,1.1899988794493104e-6,0.001675698242498826,5.343878789392081
APLNR,1.4278403531132953,8.072627805869798,5.794113671482304,1.2000130639493166e-6,0.001675698242498826,5.33624316524233
PKM2,0.6747544432028574,8.985452311087577,5.756409700724274,1.3496719490700896e-6,0.001766889290326381,5.2291421441335295
COL4A1,1.186836471910105,10.017736779348681,5.724986601311538,1.4885616956853554e-6,0.0018340831339897325,5.139866453045984
ATP5S,-0.8170370842583431,7.1903345803661365,-5.645271227198104,1.9083977443209146e-6,0.002184669458466426,4.9133446967385375
RBMS2,0.45110736362241854,5.616312480984634,5.633176238315008,1.981701504385663e-6,0.002184669458466426,4.878971997534865
3-Mar,-0.842129074375593,8.715793167474098,-5.606203054602525,2.155463586727749e-6,0.0022574170143799714,4.8023161064308475
KIAA1217,0.572464776207249,6.685020705350039,5.576577568297273,2.3638879768101967e-6,0.002264037504287845,4.718123091178867
CREG1,-0.942385255221572,10.483161637166258,-5.5746719199689085,2.37796357750084e-6,0.002264037504287845,4.712707487089588
ATP5S,-0.6536459152005523,6.907168028040145,-5.537955114960167,2.6660999619082886e-6,0.0024280056435709136,4.608366704305054
SGCG,-0.6550853224109358,5.635186408736927,-5.5227270205121695,2.7955914727152684e-6,0.0024398524578122505,4.565094691571922
SERPINH1,0.7872719980652478,8.941348742044266,5.425587668592451,3.7827008813043003e-6,0.0030660060162538863,4.289131797327661
SEPN1,0.7019636399859331,7.387835299969231,5.423631625533405,3.8057937755466933e-6,0.0030660060162538863,4.283576483733061
BST2,0.81224470358216,7.855130841442583,5.404034770829422,4.045050315585572e-6,0.0031380601448242743,4.227924327754097
COL4A2,1.1789302368024535,7.14597216048897,5.379628699631928,4.3640784790813565e-6,0.0032646424222442173,4.1586269025590035
TGFA,-0.822893522213764,6.653883695270883,-5.359129274786526,4.65132342299349e-6,0.0033595386351041945,4.100433403109074
DYSF,0.8636060231505157,6.638772110727972,5.272134480872766,6.095041326134798e-6,0.004216076649235379,3.853615293589728
PGF,0.710527934167778,6.039536545104567,5.262609688718027,6.278000323117738e-6,0.004216076649235379,3.826607975564688
VWA1,0.8796489778357384,6.752198306966405,5.250580676636991,6.516888684352511e-6,0.004216076649235379,3.79250508738383
SEPN1,0.7381987349954202,8.439578634549633,5.238875206280941,6.758027925519853e-6,0.004216076649235379,3.759325092977427
3-Mar,-0.8093758792652685,8.586785094205554,-5.234819712738756,6.8436267580446334e-6,0.004216076649235379,3.7478308386768173
A2M,0.8139244632203602,9.120759897580308,5.220300678574502,7.15901381877163e-6,0.004271679021193058,3.7066861569820304
PLVAP,1.0640857444703091,7.000325047650922,5.210575342532054,7.378311855861625e-6,0.004271679021193058,3.6791312679164214
RIPK3,0.5608537025119723,6.4199403593504565,5.203343806180158,7.545694824030515e-6,0.004271679021193058,3.658644868846979
CNN2,0.6974530908121446,9.221455768395183,5.184116065969292,8.009333694823498e-6,0.004414829041362448,3.6041860533850905
HEXIM2,0.4329334697919402,5.749815711968924,5.169158884484579,8.389484465067046e-6,0.004440589284137839,3.5618351889305746
LIPM,-0.7183349772113302,6.560259686609599,-5.158982407141323,8.658326416263003e-6,0.004440589284137839,3.5330272163531173
CD151,0.5447149820668327,11.685327270363572,5.151875714151756,8.851130562030614e-6,0.004440589284137839,3.5129124929162234
ATP5S,-0.5967627222829716,7.812756203524241,-5.13795845713068,9.241146569679625e-6,0.004440589284137839,3.4735289818819393
BLMH,-0.8609316501753849,9.449137523097287,-5.137611123429057,9.251095510383905e-6,0.004440589284137839,3.472546219465084
CX3CL1,0.7953530448435459,8.070774941184792,5.13493600615357,9.328078320541627e-6,0.004440589284137839,3.46497733744088
IFITM1,0.8291054754809488,10.027111954429511,5.120550386008893,9.753101631576408e-6,0.0044923895553384465,3.42428198598153
LOC92659,0.5947693319443983,5.919370572493226,5.116838980203926,9.865841666455101e-6,0.0044923895553384465,3.4137847176233365
COL8A1,1.8623389407867637,6.766830431891324,5.093820860497352,1.0594534917526219e-5,0.004721555923032004,3.3486986078007774
ARG1,-1.2385341061835868,9.750072853175013,-5.08699987142553,1.082055925675311e-5,0.004721821545665639,3.329417624019346
SMARCD3,0.8829032349894655,7.055585391320736,5.0545542658187195,1.1962975620754012e-5,0.005113805864332929,3.237742885445318
IFITM3,0.7306275643129035,11.469985065565478,5.044234033862772,1.235086039156951e-5,0.0051740224352363,3.208597404802232
BEX2,-0.8887444192386552,7.850683843300585,-5.009482209910502,1.3751070977312541e-5,0.005647645739035068,3.110507590674926
IFITM2,0.6884150138960191,11.679838868842177,4.998852970779931,1.4209985534635538e-5,0.00570559628765313,3.0805226902192295
LRRC15,1.131827902841962,6.3050859757649835,4.987598208850934,1.4712468249651724e-5,0.00570559628765313,3.048782184291932
CDC25B,0.7228366499784652,8.570598074244476,4.981781329820576,1.4979036033401325e-5,0.00570559628765313,3.0323811959730893
LOC644033,-0.6703566899512438,8.671923922467323,-4.981722574368137,1.4981752879830142e-5,0.00570559628765313,3.0322155449078103
FAM174A,-0.8372728269083817,9.1701598624185,-4.9733733934248,1.5372827449887777e-5,0.005741652193364763,3.008679095028329
IFI35,0.5748464314117466,8.02703069119435,4.967122736321507,1.5672216373711762e-5,0.005741652193364763,2.991061892245561
PRICKLE1,0.7148828327419449,8.220664804808154,4.962470733779967,1.5898779108906536e-5,0.005741652193364763,2.9779523841454516
KCNK1,-0.7207311436721645,6.522492308104975,-4.953236246341977,1.635818109377681e-5,0.005807431545597442,2.951934277988995
MTP18,0.7800784144081201,6.387273328605576,4.933898009586286,1.7363282185023384e-5,0.006048846801705372,2.8974709216314167
LOC283788,-0.7440429850109729,6.455929963960155,-4.929214738253497,1.761575741926992e-5,0.006048846801705372,2.884285727529715
ECGF1,1.0770319662033438,9.173942155930188,4.909871691190362,1.8697648116801435e-5,0.006227756672377643,2.8298469998128724
NMU,-0.9349025033568407,9.170017988957335,-4.90616237467415,1.891251502975607e-5,0.006227756672377643,2.8194111759365867
,-0.6937696461619934,6.950613082756448,-4.904172946514635,1.9028760958281733e-5,0.006227756672377643,2.8138145865080357
ICAM2,0.8313798550231052,7.3304475972088845,4.894191088618358,1.9622788141611734e-5,0.006323368006372298,2.7857391339005755
LYPLAL1,-0.7915367933714812,8.616853837586643,-4.884709542791433,2.020403454075924e-5,0.006412025871071864,2.759078944048417
TGFB3,0.94814339817268,7.4465665915673815,4.871756677806275,2.1025724760922405e-5,0.006573206430481801,2.7226710218577743
SHISA5,0.6016393794820579,9.108800299545486,4.865331023594556,2.1445540255260344e-5,0.0066058571498041636,2.704615407716876
UCHL5,-0.7876751737156437,6.596399004877225,-4.8600965670964165,2.1793654206217474e-5,0.006615795376861322,2.6899097612723946
CSTF3,-0.6825217768069626,6.361267873645217,-4.848116913769792,2.2611541603190428e-5,0.0066633976000456605,2.65626374772979
ECGF1,0.9160105402980587,5.998853597187891,4.84253579007737,2.3002884267937134e-5,0.0066633976000456605,2.640593211557791
C19orf61,0.3807853103597227,5.694819745884276,4.83985485977736,2.3193244133199858e-5,0.0066633976000456605,2.633066811935578
FHL3,0.6187711380010104,7.292650794534506,4.839438386496301,2.3222955447499918e-5,0.0066633976000456605,2.6318976729895933
GPX1,0.6459504311387253,10.105070029390316,4.824092760263485,2.4344373606350334e-5,0.006890773642683975,2.5888304727083664
RORA,-0.8547928141975257,9.208552246397645,-4.79894841151829,2.62987622704788e-5,0.0073447183268993185,2.518313180904711
SYT11,0.6107793708861317,7.8094920942859956,4.788738178035071,2.713596674463205e-5,0.007478815255698197,2.4896967080186396
STXBP6,-0.6955475365599025,7.3608179351697345,-4.784184374352891,2.751781049831189e-5,0.0074855592038654654,2.4769370893443288
AKTIP,-0.6941487908023029,9.122790712570813,-4.774940950019146,2.8309297534192582e-5,0.007602135207066639,2.451043895714573
CMAS,-0.8527505872831976,7.969662747179059,-4.766353402894301,2.9064771848994266e-5,0.007616389472852016,2.4269959889085726
LYPLAL1,-0.96204546708246,7.927796561895328,-4.7660747264832946,2.9089618916650496e-5,0.007616389472852016,2.4262157352170703
DBI,-1.0227270917039981,10.142530938428395,-4.749938571624559,3.056471246924503e-5,0.007853421981598774,2.381050965599144
RGS10,-0.574633045091746,8.685885884983316,-4.74802152131911,3.0744801035572396e-5,0.007853421981598774,2.375687043118903
TSPAN8,-1.7744441064604772,7.643028114918668,-4.72782629162372,3.270682760383786e-5,0.008114556874479867,2.3192050805532958
PNPLA6,0.6564438610826406,8.188835288377016,4.727604326732699,3.2729065297540566e-5,0.008114556874479867,2.31858454047695
SLC12A4,0.7157795013785533,6.344000476339676,4.725612271845061,3.2929310337572266e-5,0.008114556874479867,2.313015663445011
CAB39L,-0.6184516092223216,6.420926148973989,-4.7203616551281655,3.3462929832470696e-5,0.008145745227261735,2.2983394658534753
IFI6,1.1910393494264642,7.609530292403281,4.716762281215126,3.383365963772419e-5,0.008145745227261735,2.28828051435638
H19,1.680016534935443,7.711562772523358,4.7040328166344505,3.517761249930118e-5,0.008373071266026847,2.2527180780031166
TTC39B,-0.692940506693315,7.151215997936274,-4.698155271970152,3.581581447169285e-5,0.008429191572180656,2.2363042037452274
CORO1B,0.6593640109092062,8.129213204756235,4.685237798569926,3.725888456763923e-5,0.00867138440170857,2.2002444751331716
PXDN,1.214735345159358,7.091020865377563,4.668161535187305,3.925497607193349e-5,0.008995653790240836,2.152605592044205
SNRPF,-0.6248164489273061,10.150321596887407,-4.660273827006616,4.021228077710382e-5,0.008995653790240836,2.130612524015959
ANGPT2,0.6429506658731975,5.719535456124053,4.659374241164722,4.032291364129873e-5,0.008995653790240836,2.128104715466865
GFRA3,0.7675903824744895,5.937284522172874,4.658991551783916,4.0370068570736106e-5,0.008995653790240836,2.1270379081482123
LOC339352,0.494358116466362,5.696494235437167,4.642095898387064,4.2507082856800805e-5,0.009372140605458417,2.0799565489836294
LYPLA1,-1.0315727406497073,7.062992457893223,-4.624904132164265,4.4796066991437614e-5,0.009731434712022787,2.032086605281341
NDUFS4,-0.8189051041720742,9.85127228219883,-4.6215273720920145,4.525974363006276e-5,0.009731434712022787,2.0226885217231416
PLEKHO2,0.7311602604990853,6.326852004603485,4.609416907859276,4.6961944445944295e-5,0.009731434712022787,1.9889951344888885
FCER1A,-0.86183074859456,9.858688652205618,-4.603484482552318,4.781866821902032e-5,0.009731434712022787,1.9724970439918899
